,yyyymm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,l-s
33,199711,0.1503115015274336,0.2368930789746499,0.32442142985573175,0.39184391827015486,0.6423499383739735,0.6386663382738885,0.7960060344922579,0.749265857949574,0.7986692477909864,0.6587876712445617,0.48131063203048646
34,199712,0.16986372993472804,0.24530095769229668,0.33237894030224585,0.41376244084214087,0.6683476335987142,0.660849404247353,0.7950712852358484,0.7780322517652902,0.8051319680724832,0.6731373341219025,0.4760050708158715
35,199801,0.1491251301747364,0.24281328035777394,0.32894104547090103,0.39475870757976045,0.6708521133285916,0.6462675756662758,0.774768349069996,0.7887969675374887,0.8349411878845938,0.6781635836825152,0.5012477138122128
36,199802,0.26289465415904684,0.30316531614231174,0.37698243000839166,0.4558428876060716,0.7651026201531326,0.7224545717832094,0.8629922800728078,0.8426407426307627,0.8903436655229705,0.7219003992854707,0.4224355618769356
37,199803,0.3312294894572179,0.3326313965455301,0.40588932502732794,0.5071254657479948,0.8324544385578332,0.7699709011557813,0.905910463009063,0.8853432327755426,0.9545716936729729,0.7811605822607743,0.412715987206533
38,199804,0.3536755148751787,0.3454141913143998,0.413718051665392,0.5169766858403295,0.8479628427258818,0.7639328582620287,0.9045854046176982,0.8942882332646815,0.9543228602989239,0.783514714023745,0.39216329214855356
39,199805,0.2842707180167513,0.3149932330400696,0.3678383771656757,0.468613753296242,0.8005192546551909,0.7233307039963763,0.8914680361255887,0.8739117016915809,0.935233889428163,0.7875098714220572,0.4608066891036556
40,199806,0.30052110073824473,0.35127798349621964,0.3702726714231644,0.5021878677602734,0.826040317388217,0.7589350601438667,0.9291066974213211,0.908321637193495,0.9480213741667249,0.8247161539879547,0.48210228232346825
41,199807,0.26138034743430794,0.3418376809376652,0.3419746535189358,0.4648995838393335,0.7688592897233204,0.72992844481385,0.9033528771779491,0.8854946712119688,0.9124285513597237,0.7923413612491289,0.48860937696366286
42,199808,-0.24509606894792713,0.20340269467529576,0.21081931799164086,0.3314615286041048,0.5391125057295725,0.49922668947260207,0.7181905779159187,0.7347703934889329,0.8144883500323505,0.721540529888551,0.7730604011365951
43,199809,-0.18183631002050588,0.23670530302450749,0.26484691836404295,0.4012814569824462,0.6056310883462587,0.5812472619201141,0.7652931126044018,0.8247865788239545,0.8617178218951935,0.755690018573605,0.7420193250032353
44,199810,-0.1489355181533209,0.29908678609107675,0.3070797598891508,0.4268815332062327,0.7016467058243064,0.6852717443450708,0.8874052045022525,0.8875677615346277,0.9485391550158595,0.8207625301963234,0.7752494388653267
